Cod. Departamento,Nombre Departamento,Cod. Municipio,Nombre Municipio,Tipo,LATITUD,LONGITUD
15,BOYACÁ,15531,PAUNA,Municipio,5.688801559,-74.005041215
15,BOYACÁ,15533,PAYA,Municipio,5.621242742,-72.369290598
15,BOYACÁ,15537,PAZ DE RÍO,Municipio,6.030008561,-72.759880177
15,BOYACÁ,15542,PESCA,Municipio,5.498483324,-73.07837993
15,BOYACÁ,15550,PISBA,Municipio,5.768131812,-72.439932321
15,BOYACÁ,15572,PUERTO BOYACÁ,Municipio,5.953466654,-74.452858102
15,BOYACÁ,15580,QUÍPAMA,Municipio,5.595729831,-74.268570671
15,BOYACÁ,15599,RAMIRIQUÍ,Municipio,5.319934092,-73.310778996
15,BOYACÁ,15600,RÁQUIRA,Municipio,5.496268621,-73.628944376
15,BOYACÁ,15621,RONDÓN,Municipio,5.379947879,-73.196509947
15,BOYACÁ,15632,SABOYÁ,Municipio,5.699926051,-73.747994656
15,BOYACÁ,15638,SÁCHICA,Municipio,5.573464882,-73.543102003
15,BOYACÁ,15646,SAMACÁ,Municipio,5.47053997,-73.521175604
15,BOYACÁ,15660,SAN EDUARDO,Municipio,5.234614686,-73.049140669
15,BOYACÁ,15664,SAN JOSÉ DE PARE,Municipio,5.994154088,-73.543865224
15,BOYACÁ,15667,SAN LUIS DE GACENO,Municipio,4.798203543,-73.133970184
15,BOYACÁ,15673,SAN MATEO,Municipio,6.395388812,-72.551848623
15,BOYACÁ,15676,SAN MIGUEL DE SEMA,Municipio,5.532326922,-73.747158978
15,BOYACÁ,15681,SAN PABLO DE BORBUR,Municipio,5.677345066,-74.114037486
15,BOYACÁ,15686,SANTANA,Municipio,6.057614971,-73.489748282
15,BOYACÁ,15690,SANTA MARÍA,Municipio,4.823002556,-73.253775062
15,BOYACÁ,15693,SANTA ROSA DE VITERBO,Municipio,5.892950301,-72.991727804
15,BOYACÁ,15696,SANTA SOFÍA,Municipio,5.731602716,-73.603662869
15,BOYACÁ,15720,SATIVANORTE,Municipio,6.13211793,-72.730324154
15,BOYACÁ,15723,SATIVASUR,Municipio,6.083405978,-72.724108145
15,BOYACÁ,15740,SIACHOQUE,Municipio,5.498747701,-73.216817778
15,BOYACÁ,15753,SOATÁ,Municipio,6.323088045,-72.696040893
15,BOYACÁ,15755,SOCOTÁ,Municipio,5.906513772,-72.536463605
15,BOYACÁ,15757,SOCHA,Municipio,5.960498836,-72.682397841
15,BOYACÁ,15759,SOGAMOSO,Municipio,5.646672053,-72.870956503
15,BOYACÁ,15761,SOMONDOCO,Municipio,4.970974064,-73.428787852
15,BOYACÁ,15762,SORA,Municipio,5.580573191,-73.443718375
15,BOYACÁ,15763,SOTAQUIRÁ,Municipio,5.763010553,-73.24352232
15,BOYACÁ,15764,SORACÁ,Municipio,5.494890461,-73.318999965
15,BOYACÁ,15774,SUSACÓN,Municipio,6.215200578,-72.715756341
15,BOYACÁ,15776,SUTAMARCHÁN,Municipio,5.640030759,-73.625987727
15,BOYACÁ,15778,SUTATENZA,Municipio,5.030711335,-73.412244005
15,BOYACÁ,15790,TASCO,Municipio,5.882294313,-72.726268173
15,BOYACÁ,15798,TENZA,Municipio,5.071413139,-73.424796988
15,BOYACÁ,15804,TIBANÁ,Municipio,5.301116649,-73.393252095
15,BOYACÁ,15806,TIBASOSA,Municipio,5.747329389,-73.011147244
15,BOYACÁ,15808,TINJACÁ,Municipio,5.577566497,-73.676145721
15,BOYACÁ,15810,TIPACOQUE,Municipio,6.42035349,-72.694635834
